Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
SB18,"Children; adjudication of delinquency, orders of disposition.",Children,Official LIS subject,,
SB8,Real property tax; exemption surviving spouses of members of armed forces who died in line of duty.,Real Property,Official LIS subject,,
SJ4,Celebrating the life of Gloria Olderog Webb.,Deaths,Official LIS subject,,
HJ3,Constitutional amendment (second reference); marriage between two adult persons; repeal of same-sex marriage prohibition; affirmative right to marry.,Domestic Relations,Official LIS subject,,
SB26,"Land development; definitions, solar canopies in surface parking areas, delayed effective date.",Solar Energy,Official LIS subject,,
SB27,"Firearm industry members; creates standards of responsible conduct, civil liability.",Firearms,Official LIS subject,,
SB20,Child Care Subsidy Program; income-based eligibility for assistance.,Education,Official LIS subject,,
SB9,"RS & UT; food for human consumption and essential personal hygiene products, delayed effective date.",Sales and Use Tax,Official LIS subject,,
HB5,"Employment; paid sick leave, civil penalties.",Local Government and Officials,Official LIS subject,,
HB1,"Minimum wage; increases incrementally to $15.00 per hour by January 1, 2028.",Labor and Employment,Official LIS subject,,
SB5,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",Housing,Official LIS subject,,
SB24,Discovery materials or evidence; accused may request to copy or photograph any materials.,Civil Remedies and Procedure,Official LIS subject,,
SB11,Expanded polystyrene food service containers; repeal of prohibition.,Conservation,Official LIS subject,,
SB3,"Employee Child Care Assistance Program; established, reports.","Study Commissions, Committees, and Reports",Official LIS subject,,
SB9,"RS & UT; food for human consumption and essential personal hygiene products, delayed effective date.",Retail Sales and Use Tax,Official LIS subject,,
HB3,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",Administration of Government,Official LIS subject,,
SB1,"Minimum wage; increases incrementally to $15.00 per hour by January 1, 2028.",Labor and Employment,Official LIS subject,,
HB6,"Contraception; definitions, establishes right to obtain, applicability, enforcement.",Contraceptives,Official LIS subject,,
SJ2,Constitutional amendment (second reference); qualifications of voters and the right to vote; persons not entitled to vote.,Constitutional Amendments,Official LIS subject,,
SB24,Discovery materials or evidence; accused may request to copy or photograph any materials.,Criminal Procedure,Official LIS subject,,
SB12,"Issuing citations; certain traffic offenses and odor of marijuana, exclusion of evidence.",Appropriations,Official LIS subject,,
SB22,"Medicine and Nursing, Boards of; continuing education, bias reduction training.",Educational Institutions,Official LIS subject,,
SB21,DJJ; transfer of responsibility to Secretary of Health and Human Resources.,Uncodified Legislation,Official LIS subject,,
HJ2,Constitutional amendment; qualifications of voters and the right to vote; persons not entitled to vote.,Constitutional Amendments,Official LIS subject,,
SB8,Real property tax; exemption surviving spouses of members of armed forces who died in line of duty.,Taxation,Official LIS subject,,
SB5,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",Uncodified Legislation,Official LIS subject,,
HB5,"Employment; paid sick leave, civil penalties.",Labor and Employment,Official LIS subject,,
SB26,"Land development; definitions, solar canopies in surface parking areas, delayed effective date.",Land Development and Use,Official LIS subject,,
HB6,"Contraception; definitions, establishes right to obtain, applicability, enforcement.",Health,Official LIS subject,,
SB20,Child Care Subsidy Program; income-based eligibility for assistance.,Child Care,Official LIS subject,,
SJ3,Constitutional amendment (second reference); marriage between two adult persons; repeal of same-sex marriage prohibition; affirmative right to marry.,Domestic Relations,Official LIS subject,,
SB5,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",Administration of Government,Official LIS subject,,
SB3,"Employee Child Care Assistance Program; established, reports.",Uncodified Legislation,Official LIS subject,,
SJ1,Constitutional amendment (second reference); fundamental right to reproductive freedom.,Constitutional Amendments,Official LIS subject,,
HB3,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",Housing,Official LIS subject,,
SB10,Employment prohibition exceptions; apprenticeship program for children 16 years of age or older.,Labor and Employment,Official LIS subject,,
SB22,"Medicine and Nursing, Boards of; continuing education, bias reduction training.","Commissions, Boards, and Institutions Generally",Official LIS subject,,
SB6,"Constitutional amendment; qualifications of voters, right to vote, persons not entitled to vote.",Elections,Official LIS subject,,
HJ2,Constitutional amendment; qualifications of voters and the right to vote; persons not entitled to vote.,Elections,Official LIS subject,,
SB23,Plea agreements and court orders; prohibited provisions.,Criminal Procedure,Official LIS subject,,
SB6,"Constitutional amendment; qualifications of voters, right to vote, persons not entitled to vote.",Constitutional Amendments,Official LIS subject,,
HB3,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, report.",Uncodified Legislation,Official LIS subject,,
SB14,Alcoholic beverage control; commercial lifestyle center licenses.,Arts and Humanities,Official LIS subject,,
SB3,"Employee Child Care Assistance Program; established, reports.",Child Care,Official LIS subject,,
HJ4,"Constitutional amendment; apportionment, congress dists, limited authority of the GA to modify.",Constitutional Amendments,Official LIS subject,,
SB26,"Land development; definitions, solar canopies in surface parking areas, delayed effective date.","Counties, Cities, and Towns",Official LIS subject,,
SB2,"Paid family & med. leave insurance program; definitions, notice requirements, civil action, report.",Unemployment Compensation,Official LIS subject,,
